Date,NAV,BENCH
2021-03-11,7255.3188,3939.34
2021-03-12,7216.1418,3943.34
2021-03-15,7303.1819,3968.94
2021-03-16,7335.1878,3962.71
2021-03-17,7302.1312,3974.12
2021-03-18,7237.8643,3915.46
2021-03-19,7220.3258,3913.1
2021-03-22,7328.5397,3940.59
2021-03-23,7199.5868,3910.52
2021-03-24,7249.6061,3889.14
2021-03-25,7231.1073,3909.52
2021-03-26,7475.9145,3974.54
2021-03-29,7400.3105,3971.09
2021-03-30,7454.7009,3958.55
2021-03-31,7567.3203,3972.89
2021-04-01,7741.0864,4019.87
2021-04-05,7820.3923,4077.91
2021-04-06,7849.9478,4073.94
2021-04-07,7817.7538,4079.95
2021-04-08,7857.8088,4097.17
2021-04-09,7908.284,4128.8
2021-04-12,7828.8986,4127.99
2021-04-13,7849.4177,4141.59
2021-04-14,7809.5945,4124.66
2021-04-15,7905.2287,4170.42
2021-04-16,7908.5068,4185.47
2021-04-19,7763.0431,4163.26
2021-04-20,7638.5721,4134.94
2021-04-21,7727.2636,4173.42
2021-04-22,7692.663,4134.98
2021-04-23,7805.6271,4180.17
2021-04-26,7873.8905,4187.62
2021-04-27,7826.3048,4186.72
2021-04-28,7762.6295,4183.18
2021-04-29,7791.3851,4211.47
2021-04-30,7624.3536,4181.17
2021-05-03,7607.6702,4192.66
2021-05-04,7518.8706,4164.66
2021-05-05,7648.0974,4167.59
2021-05-06,7604.1918,4201.62
2021-05-07,7685.3737,4232.6
2021-05-10,7580.2501,4188.43
2021-05-11,7511.6941,4152.1
2021-05-12,7354.8091,4063.04
2021-05-13,7419.4422,4112.5
2021-05-14,7487.7655,4173.85
2021-05-17,7401.5003,4163.29
2021-05-18,7348.4147,4127.83
2021-05-19,7297.6266,4115.68
2021-05-20,7386.5683,4159.12
2021-05-21,7420.7781,4155.86
2021-05-24,7471.2467,4197.05
2021-05-25,7467.643,4188.13
2021-05-26,7495.8098,4195.99
2021-05-27,7621.3876,4200.88
2021-05-28,7637.1106,4204.11
2021-05-31,7650.7646,4204.11
2021-06-01,7712.4652,4202.04
2021-06-02,7758.1026,4208.12
2021-06-03,7728.7908,4192.85
2021-06-04,7815.5101,4229.89
2021-06-07,7751.0701,4226.52
2021-06-08,7796.9943,4227.26
2021-06-09,7741.1432,4219.55
2021-06-10,7765.4441,4239.18
2021-06-11,7813.9583,4247.44
2021-06-14,7832.323,4255.15
2021-06-15,7806.3719,4246.59
2021-06-16,7821.3007,4223.7
2021-06-17,7871.0852,4221.86
2021-06-18,7719.1508,4166.45
2021-06-21,7796.5105,4224.79
